timestamp;accuracy;logitude;latitude;altitude;unknown
1311761703;36;9.472948;51.311078;0;Work
1311758091;36;9.472948;51.311078;0;Work
1311754480;36;9.472948;51.311078;0;Work
1311750860;36;9.472948;51.311078;0;Work
1311750802;47;9.472648;51.310986;0;Work
1311750741;47;9.472648;51.310986;0;Work
1311750682;176;9.469401;51.311981;0;unknown
1311750620;176;9.469401;51.311981;0;unknown
1311750502;357;9.46398;51.312582;0;unknown
1311750443;399;9.444188;51.31357;0;unknown
1311750382;399;9.444188;51.31357;0;unknown
1311750322;60;9.434759;51.314013;0;unknown
1311750201;60;9.434759;51.314013;0;unknown
1311750144;1419;9.431001;51.316012;0;unknown
1311749857;1710;9.422127;51.325847;0;unknown
1311749855;2778;9.429317;51.320542;0;unknown
1311749781;1267;9.598558;51.344219;0;unknown
1311749663;1267;9.598558;51.344219;0;unknown
1311749601;60;9.41607;51.374181;0;unknown
1311747161;27;9.403395;51.40417;0;Home
1311747154;45;9.403073;51.404085;0;Home
1311747141;98;9.402794;51.403956;0;unknown
1311747139;55;9.403654;51.404189;0;Home
1311747137;364;9.402408;51.403816;0;unknown
1311747137;55;9.403654;51.404189;0;Home
1311747131;364;9.402108;51.403688;0;unknown
1311747130;55;9.403654;51.404189;0;Home
1311747129;364;9.402108;51.403688;0;unknown
1311747128;55;9.403654;51.404189;0;Home
1311747127;364;9.402258;51.403752;0;unknown
1311747126;55;9.403654;51.404189;0;Home
1311747125;364;9.402365;51.403816;0;unknown
1311746773;55;9.403654;51.404189;0;Home
1311745152;55;9.403654;51.404189;0;Home
1311741547;55;9.403654;51.404189;0;Home
1311741427;55;9.403654;51.404189;0;Home
1311737823;55;9.403654;51.404189;0;Home
1311734219;55;9.403654;51.404189;0;Home
1311730615;55;9.403738;51.404164;0;Home
1311727010;55;9.403654;51.404189;0;Home
1311723408;55;9.403654;51.404189;0;Home
1311719801;55;9.403738;51.404164;0;Home
1311716196;55;9.403654;51.404189;0;Home
1311712590;55;9.403654;51.404189;0;Home
1311710907;75;9.403455;51.404215;0;Home
1311707302;75;9.403455;51.404215;0;Home
1311703698;75;9.403455;51.404215;0;Home
1311700092;75;9.403455;51.404215;0;Home
1311696487;55;9.403654;51.404189;0;Home
1311696427;55;9.404249;51.404111;0;unknown
1311696367;2529;9.421518;51.409075;0;unknown
1311696187;60;9.471294;51.349305;0;unknown
1311696134;365;9.473439;51.347377;0;unknown
1311696070;411;9.473731;51.347144;0;unknown
1311696011;677;9.48093;51.342396;0;unknown
1311695947;42;9.496341;51.332918;0;unknown
1311695890;268;9.497173;51.331554;0;unknown
1311695837;520;9.498325;51.329112;0;unknown
1311695771;520;9.498325;51.329112;0;unknown
1311695710;263;9.5013;51.323461;0;unknown
1311695592;32;9.476287;51.325387;0;unknown
1311695530;32;9.476287;51.325387;0;unknown
1311695486;57;9.474652;51.31745;0;unknown
1311695350;96;9.473745;51.316093;0;unknown
1311695291;113;9.473587;51.31585;0;unknown
1311695226;29;9.470625;51.311406;0;unknown
1311695170;37;9.470672;51.31134;0;unknown
1311695106;56;9.472245;51.310694;0;Work
1311694746;34;9.472973;51.311085;0;Work
1311694690;36;9.472939;51.311083;0;Work
1311693965;52;9.473113;51.31125;0;Work
1311693245;52;9.473113;51.31125;0;Work
