timestamp;accuracy;logitude;latitude;altitude;unknown
1311763696;20;9.4745213;51.3126002;0;Work
1311763643;20;9.4745317;51.3125862;0;Work
1311763379;20;9.4745317;51.3125862;0;Work
1311763276;20;9.4745317;51.3125862;0;Work
1311763259;20;9.4745317;51.3125862;0;Work
1311763039;20;9.4745317;51.3125862;0;Work
1311762848;20;9.4745317;51.3125862;0;Work
1311762790;20;9.4745544;51.3125892;0;Work
1311761842;20;9.4745544;51.3125892;0;Work
1311761360;20;9.4745544;51.3125892;0;Work
1311761209;20;9.4745544;51.3125892;0;Work
1311760042;10;9.4813108;51.3136062;0;unknown
1311760022;20;9.4745256;51.3125973;0;Work
1311759303;36;9.4745443;51.3126016;0;Work
1311759172;60;9.474667;51.312545;0;Work
1311759112;67;9.475396;51.312494;0;Work
1311759051;72;9.475539;51.312502;0;Work
1311758991;80;9.47687;51.312525;0;unknown
1311758931;132;9.478237;51.312789;0;unknown
1311758811;52;9.480592;51.313479;0;unknown
1311758242;57;9.481311;51.313605;0;unknown
1311757369;57;9.481311;51.313605;0;unknown
1311757309;57;9.480958;51.313565;0;unknown
1311757257;70;9.477971;51.313172;0;unknown
1311757189;70;9.477971;51.313172;0;unknown
1311757129;71;9.477129;51.312608;0;unknown
1311757012;81;9.476081;51.312541;0;unknown
1311756951;56;9.47526;51.312396;0;Work
1311756708;59;9.474476;51.312598;0;Work
1311756648;59;9.474476;51.312598;0;Work
1311756587;104;9.473581;51.312567;0;Work
1311756527;176;9.466794;51.312527;0;unknown
1311756443;244;9.461853;51.312728;0;unknown
1311756408;244;9.461853;51.312728;0;unknown
1311756347;256;9.459419;51.312854;0;unknown
1311756290;322;9.459604;51.312828;0;unknown
1311756230;301;9.454046;51.313053;0;unknown
1311756107;60;9.446999;51.313162;0;unknown
1311756044;60;9.447057;51.313175;0;unknown
1311755927;101;9.445903;51.313587;0;unknown
1311755870;105;9.445321;51.31364;0;unknown
1311755808;248;9.446531;51.309818;0;unknown
1311755743;65;9.441333;51.307217;0;unknown
1311755693;89;9.439501;51.306844;0;unknown
1311755617;60;9.438586;51.306658;0;unknown
1311755506;65;9.427676;51.304426;0;Home
1311755442;65;9.42738;51.30415;0;unknown
1311754643;0;9.42782;51.30484;0;Home
1311752843;0;9.42782;51.30484;0;Home
1311752050;0;9.42782;51.30484;0;Home
1311751930;0;9.42782;51.30484;0;Home
1311751043;0;9.42782;51.30484;0;Home
1311750851;0;9.42782;51.30484;0;Home
1311750789;0;9.42782;51.30484;0;Home
1311750602;0;9.42782;51.30484;0;Home
1311749588;0;9.42782;51.30484;0;Home
1311749467;0;9.42782;51.30484;0;Home
1311749242;0;9.42782;51.30484;0;Home
1311747443;0;9.42782;51.30484;0;Home
1311745860;0;9.42782;51.30484;0;Home
1311745642;0;9.42782;51.30484;0;Home
1311743842;0;9.42782;51.30484;0;Home
1311742252;0;9.42782;51.30484;0;Home
1311742042;0;9.42782;51.30484;0;Home
1311740242;0;9.42782;51.30484;0;Home
1311738638;0;9.42782;51.30484;0;Home
1311738442;0;9.42782;51.30484;0;Home
1311736642;0;9.42782;51.30484;0;Home
1311735033;0;9.42782;51.30484;0;Home
1311734842;0;9.42782;51.30484;0;Home
1311733042;0;9.42782;51.30484;0;Home
1311731428;0;9.42782;51.30484;0;Home
1311731242;0;9.42782;51.30484;0;Home
1311729442;0;9.42782;51.30484;0;Home
1311727823;0;9.42782;51.30484;0;Home
1311727642;0;9.42782;51.30484;0;Home
1311725842;0;9.42782;51.30484;0;Home
1311724219;0;9.42782;51.30484;0;Home
1311724042;0;9.42782;51.30484;0;Home
1311722242;0;9.42782;51.30484;0;Home
1311720612;0;9.42782;51.30484;0;Home
1311720443;0;9.42782;51.30484;0;Home
1311718642;0;9.42782;51.30484;0;Home
1311717007;0;9.42782;51.30484;0;Home
1311716887;0;9.42782;51.30484;0;Home
1311716843;0;9.42782;51.30484;0;Home
1311715043;0;9.42782;51.30484;0;Home
1311713242;0;9.42782;51.30484;0;Home
1311712563;0;9.42782;51.30484;0;Home
1311711442;0;9.42782;51.30484;0;Home
1311709642;0;9.42782;51.30484;0;Home
1311708956;0;9.42782;51.30484;0;Home
1311708936;0;9.42782;51.30484;0;Home
1311707842;0;9.42782;51.30484;0;Home
1311707659;0;9.42782;51.30484;0;Home
1311706042;0;9.42782;51.30484;0;Home
1311705332;0;9.42782;51.30484;0;Home
1311705212;0;9.42782;51.30484;0;Home
1311704242;0;9.42782;51.30484;0;Home
1311704130;0;9.42782;51.30484;0;Home
1311702442;0;9.42782;51.30484;0;Home
1311700642;0;9.42782;51.30484;0;Home
1311700524;0;9.42782;51.30484;0;Home
1311698843;0;9.42782;51.30484;0;Home
1311697941;55;9.427909;51.304851;0;Home
1311697884;63;9.428285;51.304874;0;Home
1311697821;106;9.428937;51.305397;0;unknown
1311697761;70;9.430154;51.30598;0;unknown
1311697042;10;9.4745168;51.312561;0;Work
1311696083;70;9.443336;51.305329;0;unknown
1311695959;96;9.443489;51.305293;0;unknown
1311695838;105;9.443769;51.305512;0;unknown
1311695716;291;9.453322;51.313277;0;unknown
1311695655;291;9.453322;51.313277;0;unknown
1311695472;1458;9.461183;51.312941;0;unknown
1311695411;257;9.465503;51.31245;0;unknown
1311695242;20;9.4745164;51.3125597;0;Work
1311693442;20;9.4745164;51.3125597;0;Work
1311691861;20;9.4745164;51.3125597;0;Work
1311691679;20;9.4745164;51.3125597;0;Work
1311691643;20;9.4745164;51.3125597;0;Work
1311691619;20;9.4745164;51.3125597;0;Work
1311689842;20;9.4745164;51.3125597;0;Work
1311688042;20;9.4745164;51.3125597;0;Work
1311688012;20;9.4745164;51.3125597;0;Work
1311686242;20;9.4745164;51.3125597;0;Work
1311684442;20;9.4745164;51.3125597;0;Work
1311684399;20;9.4745164;51.3125597;0;Work
1311682894;20;9.4745164;51.3125597;0;Work
1311682643;20;9.4745164;51.3125597;0;Work
1311682113;20;9.4745164;51.3125597;0;Work
1311680843;20;9.4745164;51.3125597;0;Work
1311679043;20;9.4745164;51.3125597;0;Work
1311678508;20;9.4745164;51.3125597;0;Work
1311677243;20;9.4745164;51.3125597;0;Work
1311675442;20;9.4745164;51.3125597;0;Work
1311674883;20;9.4745164;51.3125597;0;Work
1311673643;20;9.4745164;51.3125597;0;Work
1311671842;20;9.4745164;51.3125597;0;Work
1311671280;20;9.4745164;51.3125597;0;Work
1311671192;20;9.4745164;51.3125597;0;Work
1311670651;20;9.4745164;51.3125597;0;Work
1311670559;27;9.474323;51.312666;0;Work
1311670499;59;9.474239;51.312716;0;Work
1311670381;60;9.465257;51.312516;0;unknown
1311670319;60;9.461172;51.31269;0;unknown
1311670258;60;9.461172;51.31269;0;unknown
1311670197;99;9.459753;51.3128;0;unknown
1311670080;98;9.455735;51.313077;0;unknown
1311670043;90;9.453915;51.313141;0;unknown
1311670019;90;9.453915;51.313141;0;unknown
1311669992;57;9.452347;51.31321;0;unknown
1311669957;89;9.447056;51.312943;0;unknown
1311669896;39;9.446545;51.313414;0;unknown
1311669836;60;9.445454;51.313483;0;unknown
1311669779;80;9.444836;51.313263;0;unknown
1311669717;80;9.444836;51.313263;0;unknown
1311669602;35;9.439569;51.311599;0;unknown
1311669414;41;9.423241;51.309015;0;unknown
1311669354;41;9.423241;51.309015;0;unknown
1311669296;81;9.423703;51.308635;0;unknown
1311669174;62;9.42494;51.307407;0;unknown
1311669117;82;9.425011;51.307193;0;unknown
1311668994;65;9.425677;51.305199;0;unknown
1311668876;65;9.425677;51.305199;0;unknown
1311668242;0;9.42782;51.30484;0;Home
1311666442;0;9.42782;51.30484;0;Home
1311665317;0;9.42782;51.30484;0;Home
1311664642;0;9.42782;51.30484;0;Home
1311662843;0;9.42782;51.30484;0;Home
1311661710;10;9.4279804;51.3046493;0;Home
1311661043;10;9.4279804;51.3046493;0;Home
1311659243;10;9.4279804;51.3046493;0;Home
1311658103;10;9.4279804;51.3046493;0;Home
1311657442;10;9.4279804;51.3046493;0;Home
1311655642;10;9.4279803;51.3046493;0;Home
1311654498;10;9.4279803;51.3046493;0;Home
1311653842;10;9.4279803;51.3046493;0;Home
1311652042;10;9.4279803;51.3046493;0;Home
1311650894;10;9.4279803;51.3046493;0;Home
1311650242;10;9.4279803;51.3046493;0;Home
1311648442;10;9.4279803;51.3046493;0;Home
1311647289;10;9.4279803;51.3046493;0;Home
1311646642;10;9.4279803;51.3046493;0;Home
1311644842;10;9.4279803;51.3046493;0;Home
1311643684;10;9.4279803;51.3046493;0;Home
1311643042;10;9.4279803;51.3046493;0;Home
1311641242;10;9.4279804;51.3046493;0;Home
1311640081;10;9.4279803;51.3046493;0;Home
1311639442;10;9.4279803;51.3046493;0;Home
1311637642;10;9.4279803;51.3046493;0;Home
1311636475;10;9.4279804;51.3046493;0;Home
1311635842;10;9.4279804;51.3046493;0;Home
1311634042;35;9.42798;51.304651;0;Home
1311632870;35;9.42798;51.304651;0;Home
1311632242;35;9.42798;51.304651;0;Home
1311630442;35;9.42798;51.304651;0;Home
1311629267;35;9.42798;51.304651;0;Home
1311629205;45;9.427999;51.304776;0;Home
1311629145;60;9.428165;51.305141;0;Home
1311629084;60;9.428165;51.305141;0;Home
1311628969;60;9.463472;51.309104;0;unknown
1311628903;60;9.469352;51.309275;0;unknown
1311628786;90;9.470851;51.309369;0;unknown
1311628666;35;9.472041;51.309389;0;unknown
1311628642;59;9.50891;51.31913;0;unknown
1311628543;59;9.50891;51.31913;0;unknown
1311628438;59;9.50891;51.31913;0;unknown
1311626842;54;9.5164899;51.329761;0;Friend2
1311625597;54;9.51649;51.329761;0;Friend2
1311625042;54;9.516417;51.329779;0;Friend2
1311623243;54;9.516417;51.329779;0;Friend2
1311621985;54;9.516417;51.329779;0;Friend2
1311621443;54;9.5164899;51.329761;0;Friend2
1311619643;54;9.5164899;51.329761;0;Friend2
1311618376;54;9.51649;51.329761;0;Friend2
1311617843;10;9.5164899;51.3297615;0;Friend2
1311616043;54;9.5164899;51.329761;0;Friend2
1311614760;54;9.51649;51.329761;0;Friend2
1311614640;54;9.51649;51.329761;0;Friend2
1311614579;272;9.51317;51.327715;0;unknown
1311614519;430;9.511691;51.324217;0;unknown
1311614401;466;9.509552;51.320974;0;unknown
1311614341;416;9.506291;51.317662;0;unknown
1311614281;195;9.499988;51.313661;0;unknown
1311614242;150;9.487569;51.307498;0;unknown
1311614159;150;9.487569;51.307498;0;unknown
1311614098;60;9.46741;51.309228;0;unknown
1311614041;180;9.465474;51.309128;0;unknown
1311613978;180;9.465474;51.309128;0;unknown
1311613862;60;9.461602;51.308929;0;unknown
1311613861;1387;9.631324;51.366834;0;unknown
1311613739;1272;9.44631;51.307984;0;unknown
1311613619;70;9.430154;51.30598;0;unknown
1311613315;0;9.42782;51.30484;0;Home
1311612442;0;9.42782;51.30484;0;Home
1311610642;10;9.474472;51.3125419;0;Work
1311610159;55;9.42772;51.304727;0;Home
1311610039;55;9.427797;51.304752;0;Home
1311609682;20;9.435188;51.314075;0;unknown
1311608842;10;9.474472;51.3125419;0;Work
1311607876;10;9.474472;51.3125419;0;Work
1311607042;10;9.474472;51.3125419;0;Work
1311606975;10;9.474472;51.3125419;0;Work
1311605243;10;9.474472;51.3125419;0;Work
1311603443;10;9.474472;51.3125419;0;Work
1311603370;10;9.474472;51.3125419;0;Work
1311603130;10;9.474472;51.3125419;0;Work
1311601642;10;9.474472;51.3125419;0;Work
1311599843;10;9.474472;51.3125419;0;Work
1311599526;10;9.474472;51.3125419;0;Work
1311598042;10;9.474472;51.3125419;0;Work
1311596242;10;9.474472;51.3125419;0;Work
1311596163;60;9.474437;51.312484;0;Work
1311595320;59;9.491085;51.313797;0;Sport1
1311594442;10;9.474472;51.3125419;0;Work
1311592642;10;9.474472;51.3125419;0;Work
1311592563;93;9.490191;51.314163;0;Sport1
1311591236;20;9.4744723;51.3125414;0;Work
1311590996;20;9.4744723;51.3125414;0;Work
1311590843;20;9.4744723;51.3125414;0;Work
1311590575;20;9.4744723;51.3125414;0;Work
1311589042;20;9.4744723;51.3125414;0;Work
1311588142;20;9.4744723;51.3125414;0;Work
1311587578;20;9.4744723;51.3125414;0;Work
1311587549;20;9.4744645;51.3125419;0;Work
1311587243;20;9.4745192;51.3125696;0;Work
1311587030;20;9.4745192;51.3125696;0;Work
1311586970;20;9.4745192;51.3125696;0;Work
1311586910;20;9.4745192;51.3125696;0;Work
1311586850;20;9.4745192;51.3125696;0;Work
1311586683;20;9.4745192;51.3125696;0;Work
1311585442;10;9.4278202;51.30484;0;Home
1311584510;62;9.43894;51.278949;0;unknown
1311584450;62;9.43894;51.278949;0;unknown
1311584390;62;9.43894;51.278949;0;unknown
1311584330;62;9.43894;51.278949;0;unknown
1311584270;62;9.43894;51.278949;0;unknown
1311584210;62;9.43894;51.278949;0;unknown
1311584150;62;9.43894;51.278949;0;unknown
1311584090;62;9.43894;51.278949;0;unknown
1311584026;62;9.43915;51.278987;0;unknown
1311583966;62;9.43915;51.278987;0;unknown
1311583906;62;9.43894;51.278949;0;unknown
1311583846;62;9.43894;51.278949;0;unknown
1311583786;62;9.43894;51.278949;0;unknown
1311583669;62;9.43894;51.278949;0;unknown
1311583642;10;9.4278202;51.30484;0;Home
1311583609;62;9.43894;51.278949;0;unknown
1311583549;62;9.43894;51.278949;0;unknown
1311583489;62;9.43894;51.278949;0;unknown
1311583429;62;9.43894;51.278949;0;unknown
1311583369;62;9.43894;51.278949;0;unknown
1311583305;62;9.43915;51.278987;0;unknown
1311583245;62;9.43915;51.278987;0;unknown
1311583185;62;9.43894;51.278949;0;unknown
1311583125;62;9.43894;51.278949;0;unknown
1311583065;62;9.43894;51.278949;0;unknown
1311583005;62;9.43915;51.278987;0;unknown
1311582945;62;9.43915;51.278987;0;unknown
1311582828;62;9.43894;51.278949;0;unknown
1311582713;62;9.43915;51.278987;0;unknown
1311582593;0;9.42782;51.30484;0;Home
1311582473;0;9.42782;51.30484;0;Home
1311581842;0;9.42782;51.30484;0;Home
1311581692;0;9.42782;51.30484;0;Home
1311580042;0;9.42782;51.30484;0;Home
1311579737;0;9.42782;51.30484;0;Home
1311578533;0;9.42782;51.30484;0;Home
1311578242;0;9.42782;51.30484;0;Home
1311578078;0;9.42782;51.30484;0;Home
1311577858;0;9.42782;51.30484;0;Home
1311576442;0;9.42782;51.30484;0;Home
1311574643;0;9.42782;51.30484;0;Home
1311574471;0;9.42782;51.30484;0;Home
1311572842;0;9.42782;51.30484;0;Home
1311571042;0;9.42782;51.30484;0;Home
1311570865;0;9.42782;51.30484;0;Home
1311569242;0;9.42782;51.30484;0;Home
1311567442;0;9.42782;51.30484;0;Home
1311567261;0;9.42782;51.30484;0;Home
1311565642;0;9.42782;51.30484;0;Home
1311563842;0;9.42782;51.30484;0;Home
1311563656;0;9.42782;51.30484;0;Home
1311562042;0;9.42782;51.30484;0;Home
1311560242;0;9.42782;51.30484;0;Home
1311560051;0;9.42782;51.30484;0;Home
1311558442;0;9.42782;51.30484;0;Home
1311556643;0;9.42782;51.30484;0;Home
1311556446;0;9.42782;51.30484;0;Home
1311554842;0;9.42782;51.30484;0;Home
1311553042;0;9.42782;51.30484;0;Home
1311552842;0;9.42782;51.30484;0;Home
1311551242;0;9.42782;51.30484;0;Home
1311549442;0;9.42782;51.30484;0;Home
1311549233;0;9.42782;51.30484;0;Home
1311547643;0;9.42782;51.30484;0;Home
1311547499;0;9.42782;51.30484;0;Home
1311547072;0;9.42782;51.30484;0;Home
1311546299;0;9.42782;51.30484;0;Home
1311545843;0;9.42782;51.30484;0;Home
1311545629;0;9.42782;51.30484;0;Home
1311544500;0;9.42782;51.30484;0;Home
1311544043;0;9.42782;51.30484;0;Home
1311542242;0;9.42782;51.30484;0;Home
1311542020;0;9.42782;51.30484;0;Home
1311540443;0;9.42782;51.30484;0;Home
1311538642;0;9.42782;51.30484;0;Home
1311538411;0;9.42782;51.30484;0;Home
1311536842;0;9.42782;51.30484;0;Home
1311535042;0;9.42782;51.30484;0;Home
1311534807;0;9.42782;51.30484;0;Home
1311533242;0;9.42782;51.30484;0;Home
1311531442;0;9.42782;51.30484;0;Home
1311531195;0;9.42782;51.30484;0;Home
1311529642;0;9.42782;51.30484;0;Home
1311527843;0;9.42782;51.30484;0;Home
1311527585;55;9.427828;51.304913;0;Home
1311527529;68;9.428219;51.304919;0;Home
1311526864;10;9.4526081;51.2844085;0;Private1
1311526042;10;9.4526081;51.2844085;0;Private1
1311524242;10;9.4526081;51.2844085;0;Private1
1311523261;10;9.4526081;51.2844085;0;Private1
1311522442;10;9.4526081;51.2844085;0;Private1
1311520643;53;9.452608;51.284408;0;Private1
1311519654;53;9.452608;51.284408;0;Private1
1311519592;53;9.452608;51.284408;0;Private1
1311518842;10;9.4276523;51.3047943;0;Home
1311517042;10;9.4276523;51.3047943;0;Home
1311516927;10;9.4276523;51.3047943;0;Home
1311515242;10;9.4276523;51.3047943;0;Home
1311513442;10;9.4276523;51.3047943;0;Home
1311513321;10;9.4276523;51.3047943;0;Home
1311511642;10;9.4276523;51.3047943;0;Home
1311509842;10;9.4276523;51.3047943;0;Home
1311509716;20;9.4276528;51.304794;0;Home
1311508042;20;9.4276528;51.304794;0;Home
1311506243;20;9.4276528;51.304794;0;Home
1311506112;20;9.4276528;51.304794;0;Home
1311505614;20;9.4276528;51.304794;0;Home
1311504670;20;9.4276528;51.304794;0;Home
1311504442;20;9.4276587;51.304794;0;Home
1311503324;20;9.4276587;51.304794;0;Home
1311502642;23;9.427727;51.304727;0;Home
1311502508;23;9.427727;51.304727;0;Home
1311501607;23;9.427727;51.304727;0;Home
1311500862;23;9.427727;51.304727;0;Home
1311500577;23;9.427727;51.304727;0;Home
1311500015;23;9.427727;51.304727;0;Home
1311498814;23;9.427727;51.304727;0;Home
1311498777;23;9.427727;51.304727;0;Home
1311497965;23;9.427727;51.304727;0;Home
1311497615;26;9.42782;51.30474;0;Home
1311496977;26;9.42782;51.30474;0;Home
1311496704;26;9.42782;51.30474;0;Home
1311496648;27;9.427913;51.304744;0;Home
1311496614;60;9.427917;51.30481;0;Home
1311496587;2534;9.432373;51.298983;0;unknown
1311496510;60;9.428891;51.309532;0;unknown
1311496450;60;9.428891;51.309532;0;unknown
1311495437;0;9.42782;51.30484;0;Home
1311495177;0;9.42782;51.30484;0;Home
1311493377;0;9.42782;51.30484;0;Home
1311491832;0;9.42782;51.30484;0;Home
1311491577;0;9.42782;51.30484;0;Home
1311490825;0;9.42782;51.30484;0;Home
1311489777;0;9.42782;51.30484;0;Home
1311488227;0;9.42782;51.30484;0;Home
1311487977;0;9.42782;51.30484;0;Home
1311486177;0;9.42782;51.30484;0;Home
1311484623;0;9.42782;51.30484;0;Home
1311484377;0;9.42782;51.30484;0;Home
1311482577;0;9.42782;51.30484;0;Home
1311481019;0;9.42782;51.30484;0;Home
1311480777;0;9.42782;51.30484;0;Home
1311478977;0;9.42782;51.30484;0;Home
1311477414;0;9.42782;51.30484;0;Home
1311477177;0;9.42782;51.30484;0;Home
1311475377;0;9.42782;51.30484;0;Home
1311473808;0;9.42782;51.30484;0;Home
1311473577;0;9.42782;51.30484;0;Home
1311471777;0;9.42782;51.30484;0;Home
1311470203;0;9.42782;51.30484;0;Home
1311469977;0;9.42782;51.30484;0;Home
1311468177;0;9.42782;51.30484;0;Home
1311466598;0;9.42782;51.30484;0;Home
1311466377;0;9.42782;51.30484;0;Home
1311464577;0;9.42782;51.30484;0;Home
1311462993;0;9.42782;51.30484;0;Home
1311462777;0;9.42782;51.30484;0;Home
1311460977;0;9.42782;51.30484;0;Home
1311459388;0;9.42782;51.30484;0;Home
1311459177;0;9.42782;51.30484;0;Home
1311457377;0;9.42782;51.30484;0;Home
1311455783;29;9.427958;51.304656;0;Home
1311455603;29;9.427958;51.304656;0;Home
1311455577;29;9.427958;51.304656;0;Home
1311455543;29;9.427958;51.304656;0;Home
1311455469;96;9.428489;51.305194;0;Home
1311455063;53;9.453009;51.308629;0;unknown
1311453980;60;9.453023;51.308501;0;unknown
1311453777;10;9.4528656;51.3090286;0;unknown
1311453379;10;9.4528656;51.3090286;0;unknown
1311453079;10;9.4528656;51.3090286;0;unknown
1311453005;10;9.4528656;51.3090286;0;unknown
1311452962;10;9.4528656;51.3090286;0;unknown
1311452885;10;9.4528656;51.3090286;0;unknown
1311452122;10;9.4528656;51.3090286;0;unknown
1311451977;10;9.4528656;51.3090286;0;unknown
1311450177;10;9.4528656;51.3090286;0;unknown
1311448513;68;9.453051;51.308854;0;unknown
1311448453;69;9.452866;51.30903;0;unknown
1311448377;69;9.452866;51.30903;0;unknown
1311448333;69;9.452866;51.30903;0;unknown
1311448272;69;9.452866;51.30903;0;unknown
1311448094;60;9.454034;51.308267;0;unknown
1311447670;60;9.444806;51.307711;0;unknown
1311446999;55;9.427803;51.304848;0;Home
1311446939;55;9.427775;51.304758;0;Home
1311446765;1272;9.44631;51.307984;0;unknown
1311446577;10;9.4585886;51.2966651;0;unknown
1311444777;10;9.4585886;51.2966651;0;unknown
1311442978;1819;9.45671;51.297184;0;unknown
1311442977;2164;9.458589;51.296665;0;unknown
1311441350;2164;9.458589;51.296665;0;unknown
1311441177;10;9.4278202;51.30484;0;Home
1311440450;3326;9.497011;51.270085;0;unknown
1311439377;0;9.42782;51.30484;0;Home
